Asset,STRIDE,STRIDE Category,Threat,Impact,Mitigation
kubernetes manifests,S,Spoofing,"- Malicious manifests introduced as if they came from trusted CI/CD pipeline
- Malicious service definitions impersonate legitimate EMS/PDC/SCADA-support services
- Bypass of CI/CD control by submitting unauthorized manifests directly to the Kubernetes API","- the manifest is still trusted, so the system is compromised in terms of scaling and configuration of the cluster 
- malicious work appears as legitimate EMS/PDC services
- fake services intercept or manipulate grid processing pipelines","- enforce all deployments with a single source of truth such as GitOps controllers
- sign all manifests and enforce signature verification at admission time
- use of cloud-native workload identity an bind ServiceAccounts to approved workloads strictly
- strong Kubernetes admission controllers to reject unsigned manifests and unknown service identities
- secure CI/CD authentication"
kubernetes manifests,T,Tampering,"- Modify container images, change startup arguments, inject backdoors, change number of replicas
- Modify security parameters such as capabilities restrictions, seccomp or RBAC 
- Injection of ConfigMaps or altered configuration parameters","- EMS and PDC could process altered grid data streams
- Analytics output unreliable
- Weaked security controls inside the cluser leading to an increased possibility of attack
- Communication paths could be slightly altered","- using digests instead of tags
- enforce usage of immutable deployments where possible
- OPA rules
- Network policy enforcement with default deny policies and explicit allow lists
- Pod security standards (PSS) to enforce restricted profile, avoid privilege escalation and read-only root filesystem"
kubernetes manifests,R,Repudiation,"- Lack of traceability of manifest changes
- Missing audit trails, absense of commits or overwritement of deployment
- Shared identity deployment, when multiple actors use the same service account or CI identity
- Missing logs correlation between actions and identities","-Not possible to determine who deployed or modified workload
- No linking between user and misbehavior
- forensics investigation difficult to perform
- critical infrastructure auditability requirements not realiable, leading to regulatory non compliance","- immutable audit logging and log storage with WORM* 
- signed workflows with all changes committed in Git, signed and reviewed
- no shared identities or admin accounts
- timestamp integrity assurance
- maintain a link between the commits and the cluster changes"
kubernetes manifests,I,Information Disclosure,"- Exposure of cluster topology
- Exposure of internal endpoints and services
- Secrets leakage
- Exposure of configurations and security policies
- Operational workflow leakage with processing pipelines, analytics flow and system dependencies","- Attacker will have a precise idea of how the system works and how it is organized, being able to build an accurate model of grid support architecture
- Facilitiating lateral movements and increasing the probability of successful compromisation of the operational system","- strict RBAC policy per namespace with separation of operational ans non-operational clusters
- external secrets management
- avoid exposing internal structure
- encryption of data in transit and authentication of the entities sending and receiving data
- avoid using sensitive labels or sensitive label sanitization"
kubernetes manifests,D,Denial of Service,x,x,x
kubernetes manifests,E,Elevation of Privilege,x,x,x
kubernetes secrets,S,Spoofing,"- Attacker uses stolen Kubernetes secrets to authenticate as legitimate services
- An attacker introduces malicious Secrets into the cluster that are accepted as valid credentials by workloads
- Stolen service account tokens are reused to authenticate as legitimate workloads
- Secrets from non-production environments are used to impersonate production services because of the weak separation","- Malicious services appear as trusted EMS/PDC components
- Unauthorized workloads integrate into grid data pipelines
- Attackers gain access to operational communication paths
- Lateral movement across SCADA-support and analytics systems
- Loss of trust in workload identity model across clusters","- workload identity management instead of static secrets
- short lived automatically rotated credentials
- mTLS for service communication
- identity binding with certidicate, not static secrets
- admission control validation, reject workloads using unapproved secrets, OPA"
kubernetes secrets,T,Tampering,"- modification of secrets or replacement of legitimate ones with attacker controlled ones
- secret replacement attacks
- etcd secret store manipulation
- corruption of backups or replica secrets for persistent attacks","- persistent compomise of the critical services
- inability to prove who accessed, some access could also remain undetected for a log time period
- pass the control of critical information to unlegitimate users while blocking out legitimate ones
- difficulty in unserstanding legitimate and malicious credentials over time","- encryption of secrets at rest, use of HSM key management
- external secre managers
- avoid direct kubernets storage for high-critically credentials
- sign secret payload or metadata and verify its integrity before using them
- log all modification to secrets
- regular integrity checks"
kubernetes secrets,R,Repudiation,"- No traceability of who accessed Kubernetes Secrets, no audit trails or unreliable ones
- Multiple services or users use the same secret, preventing attribution
- No reliable record of secret state at a given point in time, in particular considering backup phases
- Compromisation of audit trails","- Hard to take forensics analysis, so it is harder to solve smart grid issues and to understand whether the problem comes form an authorized or unauthorized user
- Delayed incident response for the loss or unreliability of logs","- Immutable audit logs, encrypted at rest
- correspondance between secrets and workload, user identity, service account identity
- hash chaining technique for audit trails integrity"
kubernetes secrets,I,Information Disclosure,"- Unatuthorized access to etcd store
- Misconfigured RBAC secrets 
- Pod escape enabling secret extraction
- Dumping environmental variables
- Backup content exposure
- Secret data exposed through backups or cluster snapshots","- Possibility to enter and have control of different parts of the system even if unauthorized 
- Lateral movements and persistent access
- Persistent unauthorized access to the infrastructure","- encryption of data in tranist and at rest
- no direct usage of secrets but only reference
- least privilege principle
- secret isolation based on the domain to limit risks
- no secret logging
- encrypted + acccess control backups"
